SWCAN_NBCC_LOCS Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.0942,0.1193,0.1445,0.2169,0.2991,0.3944,0.4916,0.5259,0.6414,0.7740
Queen Charlotte City, BC,0.1454,0.1925,0.2380,0.3788,0.5341,0.7068,0.8877,0.9474,1.1602,1.3861
Sandspit, BC,0.1254,0.1648,0.2044,0.3206,0.4516,0.6013,0.7599,0.8102,0.9881,1.1841
Prince Rupert, BC,0.0440,0.0543,0.0635,0.0918,0.1236,0.1608,0.2016,0.2143,0.2615,0.3139
Kitimat Townsite, BC,0.0287,0.0352,0.0413,0.0595,0.0803,0.1050,0.1313,0.1406,0.1726,0.2100
Port Hardy, BC,0.0586,0.0768,0.0954,0.1567,0.2315,0.3225,0.4235,0.4563,0.5793,0.7125
Tofino, BC,0.0409,0.0534,0.0668,0.1247,0.2646,0.5335,0.8250,0.9158,1.2454,1.6039
Campbell River, BC,0.0353,0.0463,0.0579,0.1008,0.1672,0.2630,0.3754,0.4139,0.5540,0.7045
Port Alberni, BC,0.0421,0.0560,0.0708,0.1283,0.2261,0.3797,0.5610,0.6173,0.8327,1.0705
Nanaimo, BC,0.0517,0.0701,0.0896,0.1591,0.2517,0.3701,0.5013,0.5485,0.7061,0.8828
Sidney, BC,0.0651,0.0883,0.1124,0.1940,0.2979,0.4270,0.5729,0.6196,0.7986,0.9915
Victoria, BC,0.0671,0.0908,0.1155,0.2013,0.3135,0.4576,0.6206,0.6755,0.8739,1.1001
Squamish, BC,0.0334,0.0446,0.0561,0.0949,0.1463,0.2126,0.2905,0.3164,0.4166,0.5320
Vancouver (city hall), BC,0.0460,0.0620,0.0786,0.1341,0.2050,0.2924,0.3912,0.4234,0.5458,0.6793
Abbotsford, BC,0.0405,0.0543,0.0680,0.1132,0.1695,0.2406,0.3220,0.3501,0.4533,0.5741
Chilliwack, BC,0.0320,0.0428,0.0537,0.0884,0.1323,0.1883,0.2531,0.2765,0.3604,0.4594
Kamloops, BC,0.0087,0.0121,0.0155,0.0274,0.0422,0.0611,0.0830,0.0905,0.1185,0.1517
Penticton, BC,0.0106,0.0144,0.0183,0.0314,0.0483,0.0699,0.0947,0.1037,0.1355,0.1724
Kelowna, BC,0.0093,0.0127,0.0162,0.0280,0.0429,0.0619,0.0838,0.0914,0.1195,0.1528
Calgary, AB,0.0040,0.0064,0.0089,0.0180,0.0298,0.0453,0.0641,0.0710,0.0971,0.1298
Edmonton, AB,0.0030,0.0030,0.0030,0.0069,0.0128,0.0210,0.0308,0.0344,0.0481,0.0653

 
---2015 NBCC---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.0905,0.1138,0.1369,0.2044,0.2816,0.3691,0.4641,0.4947,0.6108,0.7343
Queen Charlotte City, BC,0.1300,0.1692,0.2072,0.3263,0.4616,0.6215,0.7874,0.8403,1.0381,1.2464
Sandspit, BC,0.1151,0.1487,0.1820,0.2839,0.4001,0.5332,0.6790,0.7273,0.8929,1.0779
Prince Rupert, BC,0.0446,0.0540,0.0633,0.0904,0.1212,0.1572,0.1958,0.2087,0.2555,0.3075
Kitimat Townsite, BC,0.0302,0.0362,0.0422,0.0595,0.0793,0.1028,0.1281,0.1371,0.1685,0.2049
Port Hardy, BC,0.0625,0.0801,0.0981,0.1569,0.2292,0.3169,0.4139,0.4463,0.5626,0.6946
Tofino, BC,0.0434,0.0550,0.0675,0.1212,0.2497,0.5032,0.7941,0.8834,1.2054,1.5536
Campbell River, BC,0.0381,0.0483,0.0591,0.0993,0.1636,0.2577,0.3677,0.4072,0.5434,0.7001
Port Alberni, BC,0.0445,0.0576,0.0718,0.1270,0.2213,0.3697,0.5484,0.6139,0.8276,1.0666
Nanaimo, BC,0.0542,0.0721,0.0911,0.1588,0.2502,0.3657,0.4962,0.5410,0.7040,0.8809
Sidney, BC,0.0690,0.0916,0.1152,0.1953,0.2996,0.4315,0.5781,0.6299,0.8100,1.0155
Victoria, BC,0.0711,0.0943,0.1183,0.2015,0.3132,0.4566,0.6228,0.6774,0.8768,1.1011
Squamish, BC,0.0354,0.0460,0.0569,0.0945,0.1446,0.2099,0.2873,0.3143,0.4134,0.5267
Vancouver (city hall), BC,0.0484,0.0640,0.0799,0.1344,0.2036,0.2918,0.3894,0.4248,0.5441,0.6833
Abbotsford, BC,0.0430,0.0559,0.0693,0.1129,0.1689,0.2403,0.3211,0.3485,0.4533,0.5736
Chilliwack, BC,0.0343,0.0445,0.0547,0.0885,0.1320,0.1878,0.2536,0.2764,0.3615,0.4631
Kamloops, BC,0.0121,0.0154,0.0187,0.0296,0.0437,0.0620,0.0834,0.0909,0.1189,0.1522
Penticton, BC,0.0134,0.0170,0.0207,0.0328,0.0484,0.0690,0.0929,0.1016,0.1326,0.1690
Kelowna, BC,0.0122,0.0155,0.0188,0.0298,0.0438,0.0621,0.0833,0.0907,0.1185,0.1516
Calgary, AB,0.0066,0.0093,0.0120,0.0206,0.0318,0.0469,0.0656,0.0724,0.0993,0.1337
Edmonton, AB,0.0029,0.0040,0.0051,0.0095,0.0153,0.0232,0.0329,0.0365,0.0506,0.0692

 
---Ratios---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
